UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
MG,31,104,Abadia dos Dourados,7.022
MG,31,203,Abaeté,23.263
MG,31,302,Abre Campo,13.434
MG,31,401,Acaiaca,3.995
MG,31,500,Açucena,9.270
MG,31,609,Água Boa,13.319
MG,31,708,Água Comprida,1.986
MG,31,807,Aguanil,4.557
MG,31,906,Águas Formosas,19.285
MG,31,1003,Águas Vermelhas,13.656
MG,31,1102,Aimorés,25.116
MG,31,1201,Aiuruoca,5.949
MG,31,1300,Alagoa,2.657
MG,31,1409,Albertina,3.015
MG,31,1508,Além Paraíba,35.438
MG,31,1607,Alfenas,80.973
MG,31,1631,Alfredo Vasconcelos,7.052
MG,31,1706,Almenara,42.380
MG,31,1805,Alpercata,7.448
MG,31,1904,Alpinópolis,20.059
MG,31,2001,Alterosa,14.566
MG,31,2050,Alto Caparaó,5.938
MG,31,2100,Alto Rio Doce,10.723
MG,31,2209,Alvarenga,3.783
MG,31,2308,Alvinópolis,15.135
MG,31,2407,Alvorada de Minas,3.605
MG,31,2506,Amparo do Serra,4.643
MG,31,2605,Andradas,41.704
MG,31,2704,Cachoeira de Pajeú,9.470
MG,31,2803,Andrelândia,12.189
MG,31,2852,Angelândia,8.594
MG,31,2902,Antônio Carlos,11.471
MG,31,3009,Antônio Dias,9.233
MG,31,3108,Antônio Prado de Minas,1.577
MG,31,3207,Araçaí,2.360
MG,31,3306,Aracitaba,2.056
MG,31,3405,Araçuaí,36.715
MG,31,3504,Araguari,118.361
MG,31,3603,Arantina,2.779
MG,31,3702,Araponga,8.467
MG,31,3751,Araporã,6.992
MG,31,3801,Arapuá,2.836
MG,31,3900,Araújos,9.523
MG,31,4007,Araxá,108.403
MG,31,4106,Arceburgo,10.990
MG,31,4205,Arcos,40.658
MG,31,4304,Areado,15.288
MG,31,4403,Argirita,2.681
MG,31,4452,Aricanduva,5.305
MG,31,4502,Arinos,17.850
MG,31,4601,Astolfo Dutra,14.358
MG,31,4700,Ataléia,12.496
MG,31,4809,Augusto de Lima,4.833
MG,31,4908,Baependi,19.249
MG,31,5004,Baldim,7.780
MG,31,5103,Bambuí,23.964
MG,31,5202,Bandeira,4.738
MG,31,5301,Bandeira do Sul,5.808
MG,31,5400,Barão de Cocais,33.232
MG,31,5509,Barão de Monte Alto,5.311
MG,31,5608,Barbacena,139.061
MG,31,5707,Barra Longa,4.905
MG,31,5905,Barroso,20.981
MG,31,6002,Bela Vista de Minas,10.269
MG,31,6101,Belmiro Braga,3.422
MG,31,6200,Belo Horizonte,2.530.701
MG,31,6309,Belo Oriente,27.277
MG,31,6408,Belo Vale,7.723
MG,31,6507,Berilo,11.813
MG,31,6606,Bertópolis,4.609
MG,31,6655,Berizal,4.792
MG,31,6705,Betim,450.024
MG,31,6804,Bias Fortes,3.282
MG,31,6903,Bicas,14.612
MG,31,7000,Biquinhas,2.482
MG,31,7109,Boa Esperança,40.308
MG,31,7208,Bocaina de Minas,5.088
MG,31,7307,Bocaiúva,50.521
MG,31,7406,Bom Despacho,51.436
MG,31,7505,Bom Jardim de Minas,6.444
MG,31,7604,Bom Jesus da Penha,4.270
MG,31,7703,Bom Jesus do Amparo,6.182
MG,31,7802,Bom Jesus do Galho,14.792
MG,31,7901,Bom Repouso,10.527
MG,31,8008,Bom Sucesso,17.612
MG,31,8107,Bonfim,6.852
MG,31,8206,Bonfinópolis de Minas,5.397
MG,31,8255,Bonito de Minas,11.502
MG,31,8305,Borda da Mata,19.809
MG,31,8404,Botelhos,14.927
MG,31,8503,Botumirim,6.259
MG,31,8552,Brasilândia de Minas,16.950
MG,31,8602,Brasília de Minas,32.460
MG,31,8701,Brás Pires,4.255
MG,31,8800,Braúnas,4.737
MG,31,8909,Brazópolis,14.364
MG,31,9006,Brumadinho,41.208
MG,31,9105,Bueno Brandão,10.982
MG,31,9204,Buenópolis,10.342
MG,31,9253,Bugre,3.984
MG,31,9303,Buritis,25.179
MG,31,9402,Buritizeiro,28.184
MG,31,9451,Cabeceira Grande,7.025
MG,31,9501,Cabo Verde,14.074
MG,31,9600,Cachoeira da Prata,3.580
MG,31,9709,Cachoeira de Minas,11.609
MG,31,9808,Cachoeira Dourada,2.720
MG,31,9907,Caetanópolis,11.869
MG,31,10004,Caeté,45.364
MG,31,10103,Caiana,5.584
MG,31,10202,Cajuri,3.961
MG,31,10301,Caldas,14.600
MG,31,10400,Camacho,2.839
MG,31,10509,Camanducaia,21.831
MG,31,10608,Cambuí,30.068
MG,31,10707,Cambuquira,12.810
MG,31,10806,Campanário,3.739
MG,31,10905,Campanha,16.855
MG,31,11002,Campestre,21.052
MG,31,11101,Campina Verde,19.759
MG,31,11150,Campo Azul,3.830
