MUNICÍPIO-CÓD,MUNICÍPIO,ANO FATO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
310010,ABADIA DOS DOURADOS,2018,4,3,4,3,3,2,2,5,6,1,0,5
310010,ABADIA DOS DOURADOS,2019,1,2,4,3,1,0,0,1,1,1,1,3
310010,ABADIA DOS DOURADOS,2020,3,2,2,0,2,7,1,3,2,7,1,0
310010,ABADIA DOS DOURADOS,2021,1,2,,,,,,,,,,
310020,ABAETE,2018,22,16,17,19,17,14,27,16,19,21,16,30
310020,ABAETE,2019,13,20,26,17,16,21,17,28,15,18,15,24
310020,ABAETE,2020,22,21,14,10,17,10,17,15,15,13,20,17
310020,ABAETE,2021,16,22,,,,,,,,,,
310030,ABRE-CAMPO,2018,3,3,4,4,5,2,8,4,4,1,4,8
310030,ABRE-CAMPO,2019,4,5,4,10,4,9,7,4,5,2,12,12
310030,ABRE-CAMPO,2020,3,4,7,11,3,4,2,5,9,4,11,5
310030,ABRE-CAMPO,2021,2,8,,,,,,,,,,
310040,ACAIACA,2018,3,4,2,5,2,2,0,6,4,5,2,4
310040,ACAIACA,2019,2,4,5,2,3,3,2,2,2,1,2,0
310040,ACAIACA,2020,8,2,2,1,2,0,1,2,1,4,2,1
310040,ACAIACA,2021,4,3,,,,,,,,,,
310050,ACUCENA,2018,2,0,0,3,5,0,3,1,1,3,9,4
310050,ACUCENA,2019,1,0,2,5,1,1,2,4,4,2,3,1
310050,ACUCENA,2020,1,1,1,4,2,3,4,5,2,4,2,3
310050,ACUCENA,2021,0,2,,,,,,,,,,
310060,AGUA BOA,2018,9,3,6,5,9,0,12,4,9,4,7,6
310060,AGUA BOA,2019,9,4,5,9,4,7,3,2,4,6,4,4
310060,AGUA BOA,2020,4,3,8,9,5,8,8,9,5,3,8,5
310060,AGUA BOA,2021,2,6,,,,,,,,,,
310070,AGUA COMPRIDA,2018,2,2,2,1,0,1,1,2,2,2,5,3
310070,AGUA COMPRIDA,2019,1,0,3,2,1,3,0,3,1,4,5,4
310070,AGUA COMPRIDA,2020,4,4,0,3,2,2,1,2,1,2,3,5
310070,AGUA COMPRIDA,2021,1,6,,,,,,,,,,
310080,AGUANIL,2018,4,0,3,3,0,4,2,0,3,5,2,0
310080,AGUANIL,2019,2,2,3,7,0,0,2,1,0,5,3,2
310080,AGUANIL,2020,4,5,1,1,0,1,2,1,2,2,0,0
310080,AGUANIL,2021,2,0,,,,,,,,,,
310090,AGUAS FORMOSAS,2018,11,13,15,8,13,11,9,13,9,12,21,15
310090,AGUAS FORMOSAS,2019,15,11,5,8,4,6,10,5,6,7,11,6
310090,AGUAS FORMOSAS,2020,13,6,11,12,15,8,8,6,9,8,6,14
310090,AGUAS FORMOSAS,2021,16,5,,,,,,,,,,
310100,AGUAS VERMELHAS,2018,7,4,6,7,4,2,6,4,2,5,6,2
