,,,,,,,,,,,,,,,
,MUNICÍPIO-CÓD,MUNICÍPIO,ANO FATO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
,310010,ABADIA DOS DOURADOS,2020,3,2,2,0,2,7,1,3,2,7,1,0
,310010,ABADIA DOS DOURADOS,2021,1,2,0,4,4,2,6,2,3,3,5,6
,310010,ABADIA DOS DOURADOS,2022,3,3,7,4,1,5,5,2,5,6,4,1
,310020,ABAETE,2020,22,21,14,10,17,10,17,15,15,13,21,17
,310020,ABAETE,2021,16,22,20,10,10,13,12,16,19,24,19,21
,310020,ABAETE,2022,25,22,17,22,21,11,15,13,12,23,18,15
,310030,ABRE-CAMPO,2020,3,4,7,11,3,4,2,5,9,4,11,5
,310030,ABRE-CAMPO,2021,2,9,3,6,6,4,10,4,3,3,4,4
,310030,ABRE-CAMPO,2022,6,6,6,12,9,7,2,9,8,7,2,7
,310040,ACAIACA,2020,8,2,2,1,2,0,1,2,1,4,2,1
,310040,ACAIACA,2021,4,3,1,3,2,1,3,1,1,2,3,1
,310040,ACAIACA,2022,0,2,1,3,1,1,2,1,2,3,2,3
,310050,ACUCENA,2020,1,1,1,4,2,3,4,5,2,4,2,4
,310050,ACUCENA,2021,1,2,1,3,3,0,3,3,2,4,4,0
,310050,ACUCENA,2022,2,4,3,1,6,1,2,1,4,5,3,1
,310060,AGUA BOA,2020,4,3,8,9,5,8,8,9,5,3,8,6
,310060,AGUA BOA,2021,2,6,6,4,4,6,6,2,4,3,4,4
,310060,AGUA BOA,2022,2,9,6,2,3,5,10,6,8,5,2,4
,310070,AGUA COMPRIDA,2020,4,4,0,3,2,2,1,2,1,2,3,5
,310070,AGUA COMPRIDA,2021,1,6,0,2,0,0,0,2,0,0,0,1
,310070,AGUA COMPRIDA,2022,1,2,2,1,4,3,3,2,2,2,0,1
,310080,AGUANIL,2020,4,5,1,1,0,1,2,1,2,2,0,1
,310080,AGUANIL,2021,2,0,1,1,3,3,4,2,2,3,2,1
,310080,AGUANIL,2022,2,2,1,1,3,1,3,1,5,3,1,1
,310090,AGUAS FORMOSAS,2020,13,6,11,12,15,8,8,6,9,8,6,15
,310090,AGUAS FORMOSAS,2021,17,5,12,11,19,20,12,11,17,17,14,7
,310090,AGUAS FORMOSAS,2022,12,14,14,17,10,19,8,7,6,9,13,5
,310100,AGUAS VERMELHAS,2020,6,3,5,3,0,2,6,5,5,6,6,5
,310100,AGUAS VERMELHAS,2021,6,0,6,5,3,2,3,3,7,10,4,4
,310100,AGUAS VERMELHAS,2022,3,4,0,4,2,1,4,6,3,2,2,1
,310110,AIMORES,2020,12,5,12,5,13,6,9,10,11,8,8,17
,310110,AIMORES,2021,20,15,16,12,10,16,14,22,21,15,17,22
,310110,AIMORES,2022,16,16,19,23,15,14,14,24,20,18,10,23
,310120,AIURUOCA,2020,2,1,2,2,0,1,0,0,1,2,3,3
,310120,AIURUOCA,2021,2,3,3,0,0,5,4,2,0,2,0,2
,310120,AIURUOCA,2022,1,3,4,2,2,0,3,1,0,3,2,0
,310130,ALAGOA,2020,2,0,0,1,1,0,0,0,0,0,0,0
,310130,ALAGOA,2021,1,0,0,0,1,1,0,0,0,2,0,0
,310130,ALAGOA,2022,0,1,0,1,0,0,0,1,0,0,0,2
,310140,ALBERTINA,2020,1,1,0,1,0,2,0,4,0,0,2,1
,310140,ALBERTINA,2021,0,1,4,2,3,0,1,2,1,0,2,3
,310140,ALBERTINA,2022,2,0,3,1,1,1,1,0,3,2,1,4
,310150,ALEM PARAIBA,2020,15,23,18,7,7,16,7,10,16,17,15,22
,310150,ALEM PARAIBA,2021,9,13,10,6,16,9,7,14,19,8,12,17
,310150,ALEM PARAIBA,2022,11,20,23,15,9,13,14,18,15,22,14,16
,310160,ALFENAS,2020,70,51,55,68,56,55,54,67,67,62,73,55
,310160,ALFENAS,2021,79,61,69,48,41,49,51,49,47,49,55,39
,310160,ALFENAS,2022,61,51,52,69,41,47,62,58,57,54,62,53
,310163,ALFREDO VASCONCELOS,2020,3,2,2,4,3,3,7,0,4,3,2,3
,310163,ALFREDO VASCONCELOS,2021,3,7,3,1,2,2,5,4,1,1,5,2
,310163,ALFREDO VASCONCELOS,2022,6,5,4,3,2,6,8,2,7,6,2,4
,310170,ALMENARA,2020,48,23,45,34,30,24,41,30,35,43,39,36
,310170,ALMENARA,2021,45,31,31,30,43,31,40,26,33,32,36,45
,310170,ALMENARA,2022,45,43,24,27,21,23,33,45,40,42,27,26
,310180,ALPERCATA,2020,3,3,2,2,3,4,4,5,7,7,3,4
,310180,ALPERCATA,2021,3,4,4,3,10,3,3,2,4,8,2,5
,310180,ALPERCATA,2022,6,2,1,3,3,2,3,5,2,4,2,3
,310190,ALPINOPOLIS,2020,5,11,11,12,7,7,14,8,17,17,8,12
,310190,ALPINOPOLIS,2021,14,11,5,5,6,10,8,10,6,8,7,5
,310190,ALPINOPOLIS,2022,5,4,6,6,11,9,5,5,8,8,10,14
,310200,ALTEROSA,2020,11,7,7,10,8,6,6,5,10,8,12,7
,310200,ALTEROSA,2021,8,4,6,4,8,4,6,4,4,13,6,6
,310200,ALTEROSA,2022,9,7,10,8,7,6,9,6,5,8,13,12
,310205,ALTO CAPARAO,2020,1,2,3,6,1,2,1,3,0,2,3,3
,310205,ALTO CAPARAO,2021,6,1,5,2,4,1,4,2,3,3,2,1
,310205,ALTO CAPARAO,2022,6,0,2,2,1,2,1,0,0,4,4,4
,310210,ALTO RIO DOCE,2020,5,2,2,5,4,3,5,4,4,5,3,1
,310210,ALTO RIO DOCE,2021,5,2,6,3,3,4,3,5,3,6,6,5
,310210,ALTO RIO DOCE,2022,1,9,2,8,4,5,5,5,4,2,9,3
,310220,ALVARENGA,2020,1,0,0,0,1,2,2,0,1,1,1,2
,310220,ALVARENGA,2021,0,0,3,1,0,1,1,0,2,2,1,1
,310220,ALVARENGA,2022,1,0,1,1,2,0,2,1,2,0,0,2
,310230,ALVINOPOLIS,2020,2,10,5,7,5,3,10,12,3,12,6,4
,310230,ALVINOPOLIS,2021,6,6,4,7,4,9,5,6,9,9,3,9
,310230,ALVINOPOLIS,2022,2,9,9,6,4,2,7,7,4,5,4,3
,310240,ALVORADA DE MINAS,2020,4,2,1,7,3,2,6,1,7,7,4,5
,310240,ALVORADA DE MINAS,2021,4,4,0,4,0,1,1,2,1,4,2,5
,310240,ALVORADA DE MINAS,2022,2,1,4,3,1,0,1,3,1,1,2,2
,310250,AMPARO DA SERRA,2020,4,9,3,3,3,2,3,5,2,0,7,2
,310250,AMPARO DA SERRA,2021,2,2,1,3,10,1,2,3,1,4,3,5
,310250,AMPARO DA SERRA,2022,2,2,4,7,3,2,2,1,6,1,4,2
,310260,ANDRADAS,2020,24,22,22,16,23,24,25,24,29,20,31,36
,310260,ANDRADAS,2021,34,31,33,25,25,22,28,25,32,28,24,24
,310260,ANDRADAS,2022,24,19,23,21,20,16,23,24,28,22,16,29
,310270,CACHOEIRA DE PAJEU,2020,4,2,0,0,1,1,7,2,6,3,2,1
,310270,CACHOEIRA DE PAJEU,2021,4,3,2,1,3,8,4,8,9,5,1,4
